Date;7.4;7.3;7.2;7.1;7.0;5.6;5.5;5.4;5.3;5.2;5.1;5.0;4.4;4.3
05/05/2019;;32;356;434;402;2715;297;1226;1133;898;993;1;2045;4
06/05/2019;;32;358;434;402;2713;297;1224;1129;892;992;1;2039;4
07/05/2019;;31;360;436;401;2717;296;1222;1128;890;995;1;2043;4
08/05/2019;;31;362;437;400;2713;294;1214;1127;890;994;1;2041;4
09/05/2019;;31;362;436;400;2711;291;1211;1127;889;989;1;2037;4
10/05/2019;;31;363;442;399;2704;291;1207;1128;889;992;1;2035;4
11/05/2019;;32;366;441;398;2692;291;1207;1127;887;983;1;2019;4
12/05/2019;;32;363;442;400;2688;291;1206;1128;887;979;1;2016;4
13/05/2019;;32;365;444;398;2691;290;1203;1126;885;976;1;2009;4
14/05/2019;;31;365;442;398;2692;290;1204;1122;885;969;1;2016;4
15/05/2019;;31;365;439;398;2697;290;1201;1122;886;972;1;2021;4
16/05/2019;;32;368;431;398;2695;288;1199;1122;884;967;1;2013;4
17/05/2019;;32;372;429;398;2685;287;1194;1125;885;942;1;2010;4
18/05/2019;;33;380;431;396;2673;286;1188;1124;879;923;1;1999;4
19/05/2019;;34;382;436;396;2670;288;1187;1120;875;921;1;2006;4
20/05/2019;;34;384;440;394;2668;288;1182;1120;876;927;1;2008;4
21/05/2019;;34;386;441;392;2665;286;1186;1118;876;936;1;2007;4
22/05/2019;;36;384;435;392;2660;285;1192;1118;875;945;1;2005;4
23/05/2019;;37;385;437;394;2655;285;1185;1119;877;947;1;1972;4
24/05/2019;;37;382;442;392;2659;287;1187;1116;868;949;1;1963;4
25/05/2019;;37;381;447;394;2658;288;1184;1119;865;952;1;1975;4
26/05/2019;;35;380;447;390;2659;288;1181;1129;863;954;1;1980;4
27/05/2019;;35;381;454;390;2656;288;1182;1132;862;953;1;1981;4
28/05/2019;;35;382;453;389;2658;286;1179;1136;859;942;1;1981;4
29/05/2019;;35;381;451;390;2651;286;1176;1137;860;943;1;1972;4
30/05/2019;;36;381;461;390;2649;287;1169;1140;860;936;1;1962;4
31/05/2019;;37;381;458;386;2648;288;1164;1142;860;937;1;1966;4
01/06/2019;;37;381;461;386;2643;288;1165;1141;860;938;1;1965;4
02/06/2019;;37;381;462;386;2631;287;1166;1142;856;945;1;1968;4
05/06/2019;;36;383;462;379;2620;288;1166;1137;853;954;1;1980;4
06/06/2019;;36;387;458;377;2625;289;1161;1133;852;951;1;1978;4
08/06/2019;;36;388;456;374;2630;286;1153;1133;847;951;1;1976;4
09/06/2019;;36;385;457;376;2629;286;1149;1133;843;953;1;1979;4
10/06/2019;;36;383;451;374;2662;284;1151;1130;840;953;1;1972;4
13/06/2019;;37;385;453;371;2615;286;1155;1131;830;944;1;1958;4
19/06/2019;;36;384;433;363;2607;279;1140;1111;821;949;1;1942;4
22/06/2019;;38;383;450;364;2602;282;1143;1104;757;946;1;1938;4
24/06/2019;;39;381;450;365;2605;280;1141;1107;718;951;1;1941;4
27/06/2019;;39;386;445;365;2594;280;1128;1097;702;944;1;1938;4
30/06/2019;;38;387;448;362;2589;279;1135;1089;685;946;1;1930;4
02/07/2019;;39;389;446;361;2578;275;1133;1085;674;940;1;1929;4
04/07/2019;;39;392;448;350;2580;273;1130;1083;677;938;1;1926;4
05/07/2019;;39;394;452;351;2583;274;1127;1074;671;948;1;1924;4
08/07/2019;;37;394;446;356;2560;268;1119;1070;661;951;1;1931;4
